2021-05-28 12:09:21,670 [e-1024-b02]   INFO - .intellij.idea.IdeaApplication - App initialization took 15832 ms 
2021-05-28 12:09:21,759 [d thread 2]   INFO - exImpl$StubIndexInitialization - Initialization done:887 
2021-05-28 12:09:22,060 [d thread 1]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.openapi.actionSystem.impl.ActionPreloader@4d04b4db 
2021-05-28 12:09:22,759 [d thread 3]   INFO - dea.updater.SdkComponentSource - File C:\Users\KIIT\.android\repositories.cfg could not be loaded. 
2021-05-28 12:09:22,766 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading file:/C:/Program%20Files/Android/Android%20Studio/plugins/sdk-updates/offline-repo/offline-repo.xml 
2021-05-28 12:09:23,025 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading file:/C:/Program%20Files/Android/Android%20Studio/plugins/sdk-updates/offline-repo/offline-repo.xml 
2021-05-28 12:09:23,705 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - File C:\Users\KIIT\.android\repositories.cfg could not be loaded. 
2021-05-28 12:09:23,707 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/repository2-1.xml 
2021-05-28 12:09:23,709 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/repository2-1.xml 
2021-05-28 12:09:24,492 [d thread 1]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.search.SearchableOptionPreloader@7fa2d989 
2021-05-28 12:09:25,034 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/addons_list-3.xml 
2021-05-28 12:09:25,126 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/addons_list-3.xml 
2021-05-28 12:09:25,141 [d thread 1]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.codeInsight.completion.CompletionPreloader@22ed0cd1 
2021-05-28 12:09:25,396 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android/sys-img2-1.xml 
2021-05-28 12:09:25,479 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android/sys-img2-1.xml 
2021-05-28 12:09:26,313 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-automotive/sys-img2-1.xml 
2021-05-28 12:09:26,424 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android-automotive/sys-img2-1.xml 
2021-05-28 12:09:26,847 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-wear/sys-img2-1.xml 
2021-05-28 12:09:27,017 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android-wear/sys-img2-1.xml 
2021-05-28 12:09:27,560 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-wear-cn/sys-img2-1.xml 
2021-05-28 12:09:27,848 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android-wear-cn/sys-img2-1.xml 
2021-05-28 12:09:28,079 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/android-tv/sys-img2-1.xml 
2021-05-28 12:09:28,484 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/android-tv/sys-img2-1.xml 
2021-05-28 12:09:28,653 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/google-tv/sys-img2-1.xml 
2021-05-28 12:09:29,044 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/google-tv/sys-img2-1.xml 
2021-05-28 12:09:29,310 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/google_apis/sys-img2-1.xml 
2021-05-28 12:09:30,009 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/google_apis/sys-img2-1.xml 
2021-05-28 12:09:30,049 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/google_apis_playstore/sys-img2-1.xml 
2021-05-28 12:09:30,634 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/addon2-1.xml 
2021-05-28 12:09:30,766 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/google_apis_playstore/sys-img2-1.xml 
2021-05-28 12:09:31,413 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/addon2-1.xml 
2021-05-28 12:09:31,574 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/glass/addon2-1.xml 
2021-05-28 12:09:32,074 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/glass/addon2-1.xml 
2021-05-28 12:09:32,216 [d thread 3]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/extras/intel/addon2-1.xml 
2021-05-28 12:09:32,601 [d thread 2]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/extras/intel/addon2-1.xml 
2021-05-28 12:09:33,193 [e-1024-b02]   WARN - vdmanager.AvdManagerConnection - No Android SDK Found 
2021-05-28 12:09:34,332 [e-1024-b02]   INFO - j.ide.ui.OptionsTopHitProvider - 350 ms spent to cache options in application 
2021-05-28 12:09:34,332 [e-1024-b02]   INFO - rtup.GradleSpecificInitializer - Found Studio home directory at: 'C:\Program Files\Android\Android Studio' 
2021-05-28 12:09:34,332 [e-1024-b02]   INFO - rtup.GradleSpecificInitializer - Looking for Android SDK at 'C:/Program Files/Android/Android Studio/sdk' 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - rtup.GradleSpecificInitializer - Looking for Android SDK at 'C:/Program Files/Android/sdk' 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - rtup.GradleSpecificInitializer - Unable to locate SDK within the Android studio installation. 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - rtup.GradleSpecificInitializer - Checking if ANDROID_HOME is set: 'ANDROID_HOME' is 'null' 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - rtup.GradleSpecificInitializer - Unable to locate last SDK used by Android tools 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - .startup.AndroidSdkInitializer - Found Studio home directory at: 'C:\Program Files\Android\Android Studio' 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - .startup.AndroidSdkInitializer - Looking for Android SDK at 'C:/Program Files/Android/Android Studio/sdk' 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - .startup.AndroidSdkInitializer - Looking for Android SDK at 'C:/Program Files/Android/sdk' 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - .startup.AndroidSdkInitializer - Unable to locate SDK within the Android studio installation. 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - .startup.AndroidSdkInitializer - Checking if ANDROID_HOME is set: 'ANDROID_HOME' is 'null' 
2021-05-28 12:09:34,333 [e-1024-b02]   INFO - .startup.AndroidSdkInitializer - Unable to locate last SDK used by Android tools 
2021-05-28 12:10:08,797 [e-1024-b02]   INFO - rd.FirstRunWizardFrameProvider - Overriding welcome frame to be resizable 
2021-05-28 12:10:36,441 [e-1024-b02]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2021-05-28 12:10:36,447 [e-1024-b02]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2021-05-28 12:10:36,447 [e-1024-b02]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2021-05-28 12:10:36,526 [e-1024-b02]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2021-05-28 12:10:36,528 [e-1024-b02]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2021-05-28 12:10:36,530 [e-1024-b02]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2021-05-28 12:10:36,544 [fier64.exe]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2021-05-28 12:10:36,546 [e-1024-b02]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2021-05-28 12:10:36,559 [e-1024-b02]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2021-05-28 12:10:36,563 [ - logging]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2021-05-28 12:10:36,566 [wn tracker]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
